
Tag Key (Azure),Tag Key (OpenHosting),Tag Key (AWS),Mandatory,Description / Purpose,Scope / Level,Allowed / Example Values,Applies To
global-opco,global_opco,global.opco,Yes,"OpCo short name owning the subscription/account/project. The OpCo is responsible for all resources.","Subscription/Account/Project level; Resource level (logical inheritance if possible)","3-char formal referential (e.g. SILVA)","Billing, Operations, Security, Compliance"
global-dcs,global_dcs,global.dcs,Yes (if multi-tenant),"OpCo BU owning the subscription/account/project. Mandatory for shared (multi-tenant) environments. Not applicable for OpenPaaS Competency Center assets.","Subscription/Account level; Resource/Resource Group (Azure)/Project (AWS) if shared","BU values (e.g. GO GETD, Cloud Products, Network Product, etc.)","Billing, Governance"
global-env,global_env,global.env,Yes,"Cloud environment classification.","Subscription/Account/Project level; Resource level","Sandbox; Development; Integration; Pre-Production; Production","Billing, Operations, Inventory, Security Alerts, FinOps"
global-broker,,global.broker,Yes,"Cloud Broker or Competency Center in charge.","Subscription/Account level","CB France; CB Asia; etc. (see official value list)","Audit, Operations, Security"
global-dataclass,,global.dataclass,Yes (specific scope),"Data classification of the application (data at rest). Required only for DB and storage resources. Legacy AWS tag name: data.classification. Not applicable for OpenPaaS Competency Center assets.","Resource level; Resource Group level","Public; Internal; Confidential; Secret","Security, Audit"
global-cbp,global_cbp,global.cbp,Yes,"Application-specific Cloud Permit number from SILVA. Required for all environments except Sandbox. Mandatory for Production.","Resource level; Resource Group level","Example: A00001","Governance, Architecture"
global-project,global_project,global.project,Yes,"Project identification and cost tracking. Includes project acronym and cost center activity code.","Resource level","Cost center/Activity code; 'trans' for transversal resources; project trigram","Billing (Budget Code)"
global-app,global_app,global.app,Yes,"Application code corresponding to SILVA Business Service.","Resource level","SILVA Business Service code","Billing, Operations"
global-appserviceid,global_appserviceid,global.appserviceid,Yes,"Application Service ID (Sys ID). Automatically generated in SILVA; short-term reference via Confluence file.","Resource level","Sys ID (namespace)","Asset Management"
global-techserviceid,global_techserviceid,global.techserviceid,Optional,"Cloud Technical Service ID (Sys ID). Automatically generated in SILVA.","Resource level","Sys ID (namespace)","Incident and Change Management"
